zip_code,county_name,state_code,state_name,city_name
"10521","Westchester County","NY","New York","Croton-on-Hudson"
"14261","Erie County","NY","New York",""
"14756","Chautauqua County","NY","New York","Maple Springs"
"15123","Allegheny County","PA","Pennsylvania","West Mifflin"
"16699","Cambria County","PA","Pennsylvania","Cresson"
"17071","Perry County","PA","Pennsylvania","NEW GERMANTON"
"17606","Lancaster County","PA","Pennsylvania","Lancaster"
"22746","Rappahannock County","VA","Virginia","Viewtown"
"23412","Accomack County","VA","Virginia","Modest Town"
"25057","Fayette County","WV","West Virginia","Deep Water"
"25152","Fayette County","WV","West Virginia","Page"
"27695","Wake County","NC","North Carolina","Raleigh"
"27972","Dare County","NC","North Carolina","Salvo"
"28254","Mecklenburg County","NC","North Carolina","Charlotte"
"28589","Carteret County","NC","North Carolina","Williston"
"29724","Chester County","SC","South Carolina","Lando"
"31084","Wilcox County","GA","Georgia","Seville"
"31814","Stewart County","GA","Georgia","Louvale"
"32026","Union County","FL","Florida","Raiford"
"32072","Contagem","MG","State of Minas Gerais",""
"32157","Putnam County","FL","Florida","Lake Como"
"32323","Franklin County","FL","Florida","Lanark Village"
"34137","Collier County","FL","Florida","Copeland"
"35004","St. Clair County","AL","Alabama","Moody"
"35005","Jefferson County","AL","Alabama","Adamsville"
"35007","Shelby County","AL","Alabama","Alabaster"
"35011","Tallapoosa County","AL","Alabama","ALEX CITY"
"35013","Blount County","AL","Alabama","Allgood"
"35020","Jefferson County","AL","Alabama","Bessemer"
"35021","Jefferson County","AL","Alabama","Bessemer"
"35023","Jefferson County","AL","Alabama","Bessemer"
"35031","Blount County","AL","Alabama","Blountsville"
"35032","Talladega County","AL","Alabama","Bon Air"
"35035","Bibb County","AL","Alabama","Brierfield"
"35036","Jefferson County","AL","Alabama","Cardiff"
"35038","Walker County","AL","Alabama","Dora"
"35043","Shelby County","AL","Alabama","Chelsea"
"35044","Talladega County","AL","Alabama","Childersburg"
"35045","Chilton County","AL","Alabama","Clanton"
"35048","Jefferson County","AL","Alabama","Clay"
"35049","Blount County","AL","Alabama","Cleveland"
"35051","Shelby County","AL","Alabama","Columbiana"
"35052","St. Clair County","AL","Alabama","Cook Springs"
"35054","St. Clair County","AL","Alabama",""
"35055","Cullman County","AL","Alabama","Cullman"
"35056","Cullman County","AL","Alabama","Cullman"
"35057","Cullman County","AL","Alabama","Cullman"
"35058","Cullman County","AL","Alabama","Cullman"
"35060","Jefferson County","AL","Alabama","Docena"
"35061","Jefferson County","AL","Alabama",""
"35064","Jefferson County","AL","Alabama","Fairfield"
"35068","Jefferson County","AL","Alabama","Fultondale"
"35070","Cullman County","AL","Alabama","Garden City"
"35071","Jefferson County","AL","Alabama","Gardendale"
"35073","Jefferson County","AL","Alabama","Graysville"
"35074","Bibb County","AL","Alabama","Green Pond"
"35077","Cullman County","AL","Alabama","Hanceville"
"35080","Shelby County","AL","Alabama","Helena"
"35082","Clay County","AL","Alabama","Hollins"
"35083","Cullman County","AL","Alabama","Holly Pond"
"35085","Chilton County","AL","Alabama","Jemison"
"35091","Jefferson County","AL","Alabama","Kimberly"
"35097","Blount County","AL","Alabama","Locust Fork"
"35112","St. Clair County","AL","Alabama","Margaret"
"35114","Shelby County","AL","Alabama",""
"35116","Jefferson County","AL","Alabama","Morris"
"35117","Jefferson County","AL","Alabama","Mount Olive"
"35118","Jefferson County","AL","Alabama","Mulga"
"35119","Jefferson County","AL","Alabama",""
"35120","St. Clair County","AL","Alabama",""
"35124","Shelby County","AL","Alabama","Indian Springs Village"
"35125","St. Clair County","AL","Alabama","Pell City"
"35127","Jefferson County","AL","Alabama","Pleasant Grove"
"35136","Coosa County","AL","Alabama","Rockford"
"35147","Shelby County","AL","Alabama","Westover"
"35149","Talladega County","AL","Alabama",""
"35171","Chilton County","AL","Alabama","Thorsby"
"35176","Shelby County","AL","Alabama","Vandiver"
"35181","Jefferson County","AL","Alabama","Watson"
"35183","Coosa County","AL","Alabama","Weogufka"
"35184","Bibb County","AL","Alabama","West Blocton"
"35185","Shelby County","AL","Alabama","Westover"
"35201","Jefferson County","AL","Alabama","Birmingham"
"35202","Jefferson County","AL","Alabama","Birmingham"
"35203","Jefferson County","AL","Alabama","Birmingham"
"35204","Jefferson County","AL","Alabama","Birmingham"
"35205","Jefferson County","AL","Alabama","Birmingham"
"35206","Jefferson County","AL","Alabama","Birmingham"
"35207","Jefferson County","AL","Alabama","Birmingham"
"35208","Jefferson County","AL","Alabama","Birmingham"
"35209","Jefferson County","AL","Alabama","Birmingham"
"35210","Jefferson County","AL","Alabama","Irondale"
"35211","Jefferson County","AL","Alabama","Birmingham"
"35212","Jefferson County","AL","Alabama","Birmingham"
"35213","Jefferson County","AL","Alabama","Birmingham"
"35214","Jefferson County","AL","Alabama","Forestdale"
"35215","Jefferson County","AL","Alabama","Birmingham"
"35217","Jefferson County","AL","Alabama","Birmingham"
"35218","Jefferson County","AL","Alabama","Birmingham"
"35219","Jefferson County","AL","Alabama","Birmingham"
"35220","Jefferson County","AL","Alabama","Birmingham"
"35221","Jefferson County","AL","Alabama","Birmingham"
"35222","Jefferson County","AL","Alabama","Birmingham"
"35223","Jefferson County","AL","Alabama","Birmingham"
"35224","Jefferson County","AL","Alabama","Birmingham"
"35226","Jefferson County","AL","Alabama",""
"35228","Jefferson County","AL","Alabama","Midfield"
"35229","Jefferson County","AL","Alabama","Birmingham"
"35231","Jefferson County","AL","Alabama","Birmingham"
"35232","Jefferson County","AL","Alabama","Birmingham"
"35233","Jefferson County","AL","Alabama","Birmingham"
"35234","Jefferson County","AL","Alabama","Birmingham"
"35235","Jefferson County","AL","Alabama","Birmingham"
"35236","Jefferson County","AL","Alabama","Hoover"
"35238","Shelby County","AL","Alabama","Birmingham"
"35249","Jefferson County","AL","Alabama","Birmingham"
"35253","Jefferson County","AL","Alabama","Birmingham"
"35254","Jefferson County","AL","Alabama","Birmingham"
"35255","Jefferson County","AL","Alabama","Birmingham"
"35259","Jefferson County","AL","Alabama","Birmingham"
"35260","Jefferson County","AL","Alabama","Birmingham"
"35261","Jefferson County","AL","Alabama","Birmingham"
"35266","Jefferson County","AL","Alabama","Birmingham"
"35285","Jefferson County","AL","Alabama","Birmingham"
"35293","Jefferson County","AL","Alabama","Birmingham"
"35294","Jefferson County","AL","Alabama","Birmingham"
"35295","Jefferson County","AL","Alabama","Birmingham"
"35401","Tuscaloosa County","AL","Alabama","Tuscaloosa"
"35402","Tuscaloosa County","AL","Alabama","Tuscaloosa"
"35403","Tuscaloosa County","AL","Alabama","Tuscaloosa"
"35404","Tuscaloosa County","AL","Alabama","Tuscaloosa"
"35405","Tuscaloosa County","AL","Alabama","Tuscaloosa"
"35406","Tuscaloosa County","AL","Alabama","Tuscaloosa"
"35407","Tuscaloosa County","AL","Alabama","Tuscaloosa"
"35446","Tuscaloosa County","AL","Alabama","Buhl"
"35447","Pickens County","AL","Alabama","Carrollton"
"35449","Tuscaloosa County","AL","Alabama","Coaling"
"35452","Tuscaloosa County","AL","Alabama","Coker"
"35453","Tuscaloosa County","AL","Alabama","Cottondale"
"35457","Tuscaloosa County","AL","Alabama","Echola"
"35458","Tuscaloosa County","AL","Alabama","Elrod"
"35459","Sumter County","AL","Alabama","Emelle"
"35460","Sumter County","AL","Alabama","Epes"
"35473","Tuscaloosa County","AL","Alabama","Northport"
"35475","Tuscaloosa County","AL","Alabama","Northport"
"35476","Tuscaloosa County","AL","Alabama","Northport"
"35477","Sumter County","AL","Alabama","Panola"
"35481","Pickens County","AL","Alabama","Reform"
"35486","Tuscaloosa County","AL","Alabama","Tuscaloosa"
"35487","Tuscaloosa County","AL","Alabama","Tuscaloosa"
"35491","Greene County","AL","Alabama","West Greene"
"35501","Walker County","AL","Alabama","Jasper"
"35504","Walker County","AL","Alabama","Jasper"
"35542","Fayette County","AL","Alabama","Bankston"
"35543","Marion County","AL","Alabama","Bear Creek"
"35584","Walker County","AL","Alabama","Sipsey"
"35585","Franklin County","AL","Alabama","Spruce Pine"
"35612","Limestone County","AL","Alabama","Athens"
"35615","Limestone County","AL","Alabama","Belle Mina"
"35631","Lauderdale County","AL","Alabama","Florence"
"35634","Lauderdale County","AL","Alabama","Florence"
"35650","Lawrence County","AL","Alabama","Moulton"
"35744","Jackson County","AL","Alabama","Dutton"
"35758","Madison County","AL","Alabama","Triana"